Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Albania,2000,Europe and Central Asia,22.7162,,,3487.586302,889117.0,5.02338291722358,16.436,5.914,4.1863119742,73.955,0.0504721636685486,24.1,-0.637356833943492,58.259,0.818,0.794,8.17,15.094,,,,3129246.0
Albania,2001,Europe and Central Asia,22.7162,,,3926.887597,914923.0,3.06870024254097,15.59,5.879,7.0294254946,74.288,0.0469270539566516,22.9,-0.93847042771206,57.565,0.841,0.784,8.42,15.364,,,,3129701.0
Albania,2002,Europe and Central Asia,22.0252,,,4355.865889,975105.0,2.05620444460014,14.79,5.891,6.9093843834,74.579,0.0421383683562508,21.7,-0.299876697084691,56.499,0.854,0.791,8.21,16.02,,,,3126183.0
Albania,2003,Europe and Central Asia,21.9782,,,5561.459461,1201158.0,1.69192765932575,14.048,5.952,5.3238965663,74.828,0.0390587272203283,20.4,-0.374149169291299,55.427,0.857,0.791,9.0,16.704,,,,3118017.0
Albania,2004,Europe and Central Asia,20.5375,,,7177.030365,1464842.0,1.67121132506071,13.381,6.061,4.2191470044,75.039,0.031703903431196,19.1,-0.417931377925999,54.349,0.867,0.791,9.35,17.134,,,,3104893.0
Albania,2005,Europe and Central Asia,18.8453,,,8052.079314,1426053.0,1.76910575242426,12.821,6.206,4.9889691947,75.228,0.0371727751560624,17.8,-0.511790116421897,53.269,0.867,0.8,9.23,17.768,,,,3086810.0
Albania,2006,Europe and Central Asia,17.7084,,,8896.076004,1501212.0,0.912552114660983,12.398,6.365,3.1015131793,75.423,0.0299066005110282,16.6,-0.630911244851673,52.185,0.867,0.794,8.77,18.124,,,,3063021.0
Albania,2007,Europe and Central Asia,17.1536,,,10677.32222,1699586.0,1.16240291931481,12.118,6.518,3.4607858357,75.646,0.0302705908100668,15.3,-0.75571875541991,51.098,0.867,0.804,8.31,18.41,,,,3033993.0
Albania,2008,Europe and Central Asia,16.8371,,,12881.352058,1891672.0,1.17481012637716,11.973,6.65,3.0972300439,75.912,0.0310654794952662,14.1,-0.767342959142321,50.009,0.867,0.804,7.16,19.673,,,,3002683.0
Albania,2009,Europe and Central Asia,16.7944,,,12044.21039,1841674.0,1.20227882594965,11.945,6.756,2.8590226044,76.221,0.0322345113131938,12.9,-0.673894046451936,48.924,0.88,0.804,7.15,19.943,,,,2973044.0
Albania,2010,Europe and Central Asia,17.9559,,,11926.948284,1903675.0,1.20278488137335,12.001,6.841,4.3079630492,76.562,0.0338759658737667,11.8,-0.49646196338738,47.837,0.884,0.814,8.09,19.927,,,,2948029.0
Albania,2011,Europe and Central Asia,18.2268,,,12890.873323,2178454.0,1.07521943588521,12.1,6.915,4.8487315274,76.914,0.0361237760359253,10.8,-0.269017331764615,46.753,0.891,0.814,8.18,18.92,,,,2928601.0
Albania,2012,Europe and Central Asia,18.7668,,,12319.779604,2199647.0,1.12249673714931,12.197,6.996,5.3876148686,77.252,0.0287993795350163,10.0,-0.165151040121679,45.67,0.891,0.814,8.7,17.344,,,,2914091.0
Albania,2013,Europe and Central Asia,19.5652,,,12776.280738,2604243.0,0.689650136429024,12.257,7.096,4.2702841943,77.554,0.0276343008936864,9.3,-0.183211384606402,44.613,0.914,0.723,8.83,18.087,,,,2903788.0
Albania,2014,Europe and Central Asia,19.9902,,,13228.240079,2450033.0,0.683323137080249,12.259,7.219,4.0396270147,77.813,0.0284155966202162,8.8,-0.207046999760594,43.577,0.914,0.722,8.17,18.151,,,,2896307.0
Albania,2015,Europe and Central Asia,19.7802,,,11386.924853,2170996.0,0.652394325550909,12.197,7.367,2.214131417,78.025,0.0262991502417915,8.5,-0.291205786840436,42.566,0.914,0.724,8.88,18.06,,,,2890524.0
Albania,2016,Europe and Central Asia,19.85,,,11861.356451,2160373.0,0.639653232694558,12.08,7.534,2.7369477905,78.194,0.0271870581486421,8.4,-0.159880412127734,41.579,0.914,0.724,9.62,18.196,,,,2886427.0
Albania,2017,Europe and Central Asia,19.0221,,,13019.729856,2321675.0,0.669172345337542,11.934,7.714,2.0109778588,78.333,0.0262856705527916,8.4,-0.0919722937442495,40.617,0.894,0.745,9.18,18.318,,,,2884169.0
Albania,2018,Europe and Central Asia,18.4409,,,15156.439968,2461345.0,0.642824083332857,11.78,7.898,2.2894924438,78.458,0.0262856705527916,8.5,-0.246732042281782,39.681,0.906,0.658,9.8,18.318,,,,2882735.0
Albania,2019,Europe and Central Asia,18.6275,,,15400.237155,2461522.0,0.642824083332857,11.62,8.082,2.2894924438,78.573,0.0262856705527916,8.6,-0.426007367032238,38.771,0.921,0.609,9.8,18.318,,,,2880913.0
Albania,2020,Europe and Central Asia,19.2521,,,14909.619335,2551046.0,0.642824083332857,11.453,8.263,2.2894924438,78.686,0.0262856705527916,8.8,-0.574206959244013,37.888,0.904,0.644,9.8,18.318,,,,2877800.0
Andorra,2000,Europe and Central Asia,0.441953,,,1429.044662,,,,,,,,7.3,1.57527263657523,7.605,,,30.57,,,,,70048.0
Andorra,2001,Europe and Central Asia,0.441953,,,1546.913267,,,,,,,,6.9,2.94444704550301,7.944,,,18.4,,,,,70048.0
Andorra,2002,Europe and Central Asia,0.385887,,,1755.992896,,,,,,,,6.5,3.93669093122378,8.35899999999999,,,31.03,,,,,70048.0
Andorra,2003,Europe and Central Asia,0.419118,,,2361.635625,,,,,,,,6.2,4.37414382506083,8.79300000000001,,,30.98,,,,,73180.0
Andorra,2004,Europe and Central Asia,0.414743,,,2895.042252,,,,,,,,5.9,4.10952558964603,9.249,,,28.5,,,,,76250.0
Andorra,2005,Europe and Central Asia,0.380576,,,3159.831266,,,,,,,,5.6,3.37961909341765,9.715,,,19.56,,,,,78871.0
Andorra,2006,Europe and Central Asia,0.353523,,,3456.261316,,,,,,,,5.3,2.65738179504038,10.193,,,24.12,,,,,80995.0
Andorra,2007,Europe and Central Asia,0.368797,,,3952.395237,,,,,,,,5.0,2.06144997957326,10.692,,,22.49,,,,,82682.0
